systime,rudd,thro
1462052830.23,0.000000,0.000000
1462052830.43,0.000000,0.000000
1462052830.63,0.000000,0.000000
1462052830.83,0.000000,0.000000
1462052831.03,0.000000,0.000000
1462052831.23,0.000000,0.000000
1462052831.43,0.000000,0.000000
1462052831.63,0.000000,0.000000
1462052831.83,0.000000,0.000000
1462052832.03,0.000000,0.000000
1462052832.23,0.000000,0.000000
1462052832.43,0.000000,0.000000
1462052832.63,0.000000,0.000000
1462052832.83,0.000000,0.000000
1462052833.03,0.000000,0.000000
1462052833.23,0.000000,0.000000
1462052833.43,0.000000,0.000000
1462052833.63,1.000000,0.000000
1462052834.03,-0.992248,0.000000
1462052834.23,-0.992248,0.000000
1462052834.43,-0.992248,0.000000
1462052834.83,-0.000031,0.000000
1462052835.03,-0.000031,0.000000
1462052835.23,-0.000031,0.000000
1462052835.43,-0.000031,0.000000
1462052835.63,-0.000031,0.000000
1462052836.23,-0.992248,0.000000
1462052836.43,-0.992248,0.000000
1462052836.63,0.015870,0.000000
1462052836.83,1.000000,0.000000
1462052837.03,1.000000,0.000000
1462052837.23,-0.007843,0.000000
1462052837.43,-0.007843,0.468795
1462052837.63,-0.007843,0.000000
1462052838.03,-0.007843,0.000000
1462052838.23,-0.007843,0.000000
1462052838.43,-0.007843,0.000000
1462052838.83,-0.007843,0.000000
1462052839.03,-0.007843,0.000000
1462052839.23,-0.007843,0.000000
1462052839.43,-0.007843,0.000000
1462052839.63,-0.007843,0.000000
1462052839.83,-0.007843,0.000000
1462052840.03,-0.007843,0.000000
1462052840.43,-0.007843,0.000000
1462052840.83,-0.007843,0.000000
1462052841.03,-0.007843,0.000000
1462052841.23,-0.007843,0.000000
1462052841.43,-0.007843,0.000000
1462052841.63,-0.007843,0.000000
1462052841.83,-0.007843,0.000000
1462052842.03,-0.007843,0.000000
1462052843.03,-0.007843,0.000000
1462052843.23,-0.007843,0.000000
1462052843.43,-0.007843,0.000000
1462052843.63,-0.007843,0.000000
1462052843.83,-0.007843,0.000000
1462052844.03,-0.007843,0.000000
1462052844.23,-0.007843,0.000000
