systime,rudd,thro
1462052829.83,0.000000,0.000000
1462052829.93,0.000000,0.000000
1462052830.03,0.000000,0.000000
1462052830.13,0.000000,0.000000
1462052830.23,0.000000,0.000000
1462052830.33,0.000000,0.000000
1462052830.43,0.000000,0.000000
1462052830.53,0.000000,0.000000
1462052830.63,0.000000,0.000000
1462052830.73,0.000000,0.000000
1462052830.83,0.000000,0.000000
1462052830.93,0.000000,0.000000
1462052831.03,0.000000,0.000000
1462052831.13,0.000000,0.000000
1462052831.23,0.000000,0.000000
1462052831.33,0.000000,0.000000
1462052831.43,0.000000,0.000000
1462052831.53,0.000000,0.000000
1462052831.63,0.000000,0.000000
1462052831.73,0.000000,0.000000
1462052831.83,0.000000,0.000000
1462052831.93,0.000000,0.000000
1462052832.03,0.000000,0.000000
1462052832.13,0.000000,0.000000
1462052832.23,0.000000,0.000000
1462052832.33,0.000000,0.000000
1462052832.43,0.000000,0.000000
1462052832.53,0.000000,0.000000
1462052832.63,0.000000,0.000000
1462052832.73,0.000000,0.000000
1462052832.83,0.000000,0.000000
1462052832.93,0.000000,0.000000
1462052833.03,0.000000,0.000000
1462052833.13,0.000000,0.000000
1462052833.23,0.253945,0.000000
1462052833.33,1.000000,0.000000
1462052833.43,0.166662,0.000000
1462052833.53,0.269814,0.000000
1462052833.63,-0.000031,0.000000
1462052833.73,-0.992248,0.000000
1462052833.83,-0.992248,0.000000
1462052833.93,-0.992248,0.000000
1462052834.03,-0.992248,0.000000
1462052834.13,-0.992248,0.000000
1462052834.23,0.333323,0.000000
1462052834.33,1.000000,0.000000
1462052834.43,-0.000031,0.000000
1462052834.53,-0.000031,0.000000
1462052834.63,-0.000031,0.000000
1462052834.73,-0.000031,0.000000
1462052834.83,-0.000031,0.000000
1462052834.93,-0.000031,0.000000
1462052835.03,-0.000031,0.000000
1462052835.13,-0.000031,0.000000
1462052835.23,-0.000031,0.000000
1462052835.33,-0.000031,0.000000
1462052835.43,-0.000031,0.000000
1462052835.53,-0.000031,0.000000
1462052835.63,-0.992248,0.000000
1462052835.73,-0.992248,0.000000
1462052835.83,-0.992248,0.000000
1462052835.93,-0.992248,0.000000
1462052836.03,-0.992248,0.000000
1462052836.13,-0.992248,0.000000
1462052836.23,-0.992248,0.000000
1462052836.33,0.015870,0.000000
1462052836.43,-0.007843,0.000000
