systime,t,lon,lat,v,hdg,status
1462052830.03,78435,-963515370,305972862,0,0,0
1462052830.23,78435.2,-963515370,305972862,0,0,0
1462052830.43,78435.4,-963515370,305972862,0,0,0
1462052830.63,78435.6,-963515370,305972862,0,0,0
1462052830.83,78435.8,-963515370,305972862,0,0,0
1462052831.03,78436,-963515370,305972862,0,0,0
1462052831.23,78436.2,-963515370,305972862,0,0,0
1462052831.43,78436.4,-963515370,305972862,0,0,0
1462052831.63,78436.6,-963515370,305972862,0,0,0
1462052831.83,78436.8,-963515370,305972862,0,0,0
1462052832.03,78437,-963515370,305972862,0,0,0
1462052832.23,78437.2,-963515370,305972862,0,0,0
1462052832.43,78437.3,-963515370,305972862,0,0,0
1462052832.63,78437.6,-963515370,305972862,0,0,0
1462052832.83,78437.7,0,305972862,0,0,0
1462052833.03,78438,-963515370,305972862,0,0,0
1462052833.23,78438.2,-963515370,305972862,0,0,0
1462052833.43,78438.4,-963515370,305972862,0,0,0
1462052833.63,78438.6,-963515370,305972862,0,0,0
1462052833.83,78438.8,-963515370,305972862,0,0,0
1462052834.03,78439,-963515370,305972862,0,0,0
1462052834.23,78439.2,-963515370,305972862,0,0,0
1462052834.43,78439.4,-963515370,305972862,0,0,0
1462052834.63,78439.6,-963515370,305972862,0,0,0
1462052834.83,78439.8,-963515370,305972862,0,0,0
1462052835.03,78440,-963515370,305972862,0,0,0
1462052835.23,78440.2,-963515370,305972862,0,0,0
1462052835.43,78440.4,-963515370,305972862,0,0,0
1462052835.63,78440.6,-963515370,305972862,0,0,0
1462052835.83,78440.8,-963515370,305972862,0,0,0
1462052836.03,78441,-963515370,305972862,0,0,0
1462052836.23,78441.2,-963515370,305972862,0,0,0
1462052836.43,78441.4,-963515370,305972862,0,0,0
1462052836.63,78441.6,-963515370,305972862,0,0,0
1462052836.83,78441.8,-963515370,305972862,0,0,0
1462052837.03,78442,-963515370,305972862,0,0,0
1462052837.23,78442.2,-963515370,305972862,0,0,0
1462052837.43,78442.4,-963515370,305972862,0,0,0
1462052837.63,78442.6,-963515370,305972862,0,0,0
1462052837.83,78442.8,-963515370,305972862,0,0,0
1462052838.03,78443,-963515370,305972862,0,0,0
1462052838.23,78443.2,-963515370,305972862,0,0,0
1462052838.43,78443.4,-963515370,305972862,0,0,0
1462052838.63,78443.6,-963515370,305972862,0,0,0
1462052838.83,78443.8,-963515370,305972862,0,0,0
1462052839.03,78444,-963515370,305972862,0,0,0
1462052839.23,78444.2,-963515370,305972862,0,0,0
1462052839.43,78444.4,-963515370,305972862,0,0,0
1462052839.63,78444.6,-963515370,305972862,0,0,0
1462052839.83,78444.8,-963515370,305972862,0,0,0
1462052840.03,78445,-963515370,305972862,0,0,0
1462052840.23,78445.2,-963515370,305972862,0,0,0
1462052840.43,78445.4,-963515370,305972862,0,0,0
1462052840.63,78445.6,-963515370,305972862,0,0,0
1462052840.83,78445.8,-963515370,305972862,0,0,0
1462052841.03,78446,-963515370,305972862,0,0,0
1462052841.23,78446.2,-963515370,305972862,0,0,0
1462052841.43,78446.4,-963515370,305972862,0,0,0
1462052841.63,78446.6,-963515370,305972862,0,0,0
1462052841.83,78446.8,-963515370,305972862,0,0,0
1462052842.03,78447,-963515370,305972862,0,0,0
1462052842.23,78447.2,-963515370,305972862,0,0,0
1462052842.43,78447.3,-963515370,305972862,0,0,0
1462052842.63,78447.6,-963515370,305972862,0,0,0
1462052842.83,78447.8,-963515370,305972862,0,0,0
1462052843.03,78448,-963515370,305972862,0,0,0
1462052843.23,78448.2,-963515370,305972862,0,0,0
1462052843.43,78448.3,-963515370,305972862,0,0,0
1462052843.63,78448.6,-963515370,305972862,0,0,0
1462052843.83,78448.8,-963515370,305972862,0,0,0
1462052844.03,78449,-963515370,305972862,0,0,0
1462052844.23,78449.2,-963515370,305972862,0,0,0
1462052844.43,78449.4,-963515370,305972862,0,0,0
1462052844.63,78449.6,-963515370,305972862,0,0,0
1462052844.83,78449.8,-963515370,305972862,0,0,0
1462052845.03,78450,-963515370,305972862,0,0,0
1462052845.23,78450.2,-963515370,305972862,0,0,0
1462052845.43,78450.3,-963515370,305972862,0,0,0
1462052845.63,78450.6,-963515370,305972862,0,0,0
1462052845.83,78450.8,-963515370,305972862,0,0,0
1462052846.03,78451,-963515370,305972862,0,0,0
1462052846.23,78451.2,-963515370,305972862,0,0,0
1462052846.43,78451.4,-963515370,305972862,0,0,0
1462052846.63,78451.6,-963515370,305972862,0,0,0
1462052846.83,78451.8,-963515370,305972862,0,0,0
1462052847.03,78452,-963515370,305972862,0,0,0
1462052847.23,78452.2,-963515370,305972862,0,0,0
1462052847.43,78452.4,-963515370,305972862,0,0,0
1462052847.63,78452.6,-963515370,305972862,0,0,0
1462052847.83,78452.8,-963515370,305972862,0,0,0
1462052848.03,78453,-963515370,305972862,0,0,0
1462052848.23,78453.2,-963515370,305972862,0,0,0
1462052848.43,78453.4,-963515370,305972862,0,0,0
1462052848.63,78453.6,-963515370,305972862,0,0,0
1462052848.83,78453.8,-963515370,305972862,0,0,0
1462052849.03,78454,-963515370,305972862,0,0,0
1462052849.23,78454.2,-963515370,305972862,0,0,0
1462052849.43,78454.4,-963515370,305972862,0,0,0
1462052849.63,78454.6,-963515370,305972862,0,0,0
1462052849.83,78454.8,-963515370,305972862,0,0,0
1462052850.03,78455,-963515370,305972862,0,0,0
1462052850.23,78455.2,-963515370,305972862,0,0,0
1462052850.43,78455.4,-963515370,305972862,0,0,0
1462052850.63,78455.6,-963515370,305972862,0,0,0
1462052850.83,78455.8,-963515370,305972862,0,0,0
1462052851.03,78456,-963515370,305972862,0,0,0
1462052851.23,78456.2,-963515370,305966663,0,0,0
1462052851.43,78456.4,-963515370,305972862,0,0,0
1462052851.63,78456.6,-963515370,305971622,0,0,0
1462052851.83,78456.8,-963515370,305972862,0,0,0
1462052852.03,78457,-963515370,305972862,0,0,0
1462052852.23,78457.2,-963515370,305972862,0,0,0
1462052852.43,78457.4,-963515370,4999999,0,0,0
1462052852.63,78457.6,-963515370,305972862,0,0,0
1462052852.83,78457.8,-963515370,305972862,0,0,0
1462052853.03,78458,-963515370,305972862,0,0,0
