time(sec),X(m),Y(m),VX(m/s),VY(m/s),AX(m/s^2),AY(m/s^2),Xm(m),Ym(m),Vm(m),Hdgm(rad),u_rudder,u_throttle,P_11,P_12,P_13,P_14,P_15,P_16,P_21,P_22,P_23,P_24,P_25,P_26,P_31,P_32,P_33,P_34,P_35,P_36,P_41,P_42,P_43,P_44,P_45,P_46,P_51,P_52,P_53,P_54,P_55,P_56,P_61,P_62,P_63,P_64,P_65,P_66
150.000000,-14.159757,-18.401005,0.000000,0.000000,0.000000,0.000000,-14.159757,-18.401005,1.138010,3.729770,-0.031281,0.554735,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
150.200000,-14.698992,-18.401005,-0.105758,0.000000,-0.010539,0.000000,-15.217286,-18.401005,1.164470,3.651229,-0.140660,0.554735,0.509901,0.000000,0.100005,0.000000,0.009965,0.000000,0.000000,0.509901,0.000000,0.100005,0.000000,0.009965,0.100005,0.000000,1.020261,0.000000,0.202967,0.000000,0.000000,0.100005,0.000000,1.020261,0.000000,0.202967,0.009965,0.000000,0.202967,0.000000,1.049797,0.000000,0.000000,0.009965,0.000000,0.202967,0.000000,1.049797
150.400000,-15.166479,-18.401005,-0.350406,0.000000,-0.064607,0.000000,-15.918595,-18.401005,1.217400,3.583162,-0.164098,0.554735,0.372317,0.000000,0.202414,0.000000,0.045123,0.000000,0.000000,0.372317,0.000000,0.202414,0.000000,0.045123,0.202414,0.000000,1.078832,0.000000,0.403375,0.000000,0.000000,0.202414,0.000000,1.078832,0.000000,0.403375,0.045123,0.000000,0.403375,0.000000,1.096554,0.000000,0.000000,0.045123,0.000000,0.403375,0.000000,1.096554
150.600000,-15.703428,-18.401005,-0.786171,0.000000,-0.201951,0.000000,-16.631035,-18.401005,1.270330,3.527310,-0.242225,0.554735,0.334181,0.000000,0.303509,0.000000,0.098583,0.000000,0.000000,0.334181,0.000000,0.303509,0.000000,0.098583,0.303509,0.000000,1.146359,0.000000,0.582748,0.000000,0.000000,0.303509,0.000000,1.146359,0.000000,0.582748,0.098583,0.000000,0.582748,0.000000,1.131957,0.000000,0.000000,0.098583,0.000000,0.582748,0.000000,1.131957
150.800000,-16.364480,-18.401005,-1.406166,0.000000,-0.435054,0.000000,-17.343476,-18.401005,1.349730,3.481932,-0.242225,0.554735,0.337968,0.000000,0.391949,0.000000,0.157633,0.000000,0.000000,0.337968,0.000000,0.391949,0.000000,0.157633,0.391949,0.000000,1.193353,0.000000,0.720814,0.000000,0.000000,0.391949,0.000000,1.193353,0.000000,0.720814,0.157633,0.000000,0.720814,0.000000,1.144424,0.000000,0.000000,0.157633,0.000000,0.720814,0.000000,1.144424
151.000000,-17.027496,-18.401005,-1.970455,0.000000,-0.653531,0.000000,-17.699696,-18.401005,1.402660,3.441790,-0.242225,0.554735,0.356920,0.000000,0.456602,0.000000,0.209012,0.000000,0.000000,0.356920,0.000000,0.456602,0.000000,0.209012,0.456602,0.000000,1.203924,0.000000,0.806295,0.000000,0.000000,0.456602,0.000000,1.203924,0.000000,0.806295,0.209012,0.000000,0.806295,0.000000,1.126491,0.000000,0.000000,0.209012,0.000000,0.806295,0.000000,1.126491
151.200000,-18.066155,-18.401005,-2.930743,0.000000,-1.065257,0.000000,-19.113446,-18.401005,1.455590,3.412123,-0.296915,0.554735,0.376163,0.000000,0.494156,0.000000,0.245252,0.000000,0.000000,0.376163,0.000000,0.494156,0.000000,0.245252,0.494156,0.000000,1.180736,0.000000,0.842324,0.000000,0.000000,0.494156,0.000000,1.180736,0.000000,0.842324,0.245252,0.000000,0.842324,0.000000,1.080074,0.000000,0.000000,0.245252,0.000000,0.842324,0.000000,1.080074
151.400000,-19.256854,-18.401005,-3.906412,0.000000,-1.463495,0.000000,-20.170975,-18.401005,1.482050,3.385938,-0.429731,0.554735,0.389514,0.000000,0.509306,0.000000,0.265959,0.000000,0.000000,0.389514,0.000000,0.509306,0.000000,0.265959,0.509306,0.000000,1.136641,0.000000,0.841459,0.000000,0.000000,0.509306,0.000000,1.136641,0.000000,0.841459,0.265959,0.000000,0.841459,0.000000,1.014209,0.000000,0.000000,0.265959,0.000000,0.841459,0.000000,1.014209
151.600000,-20.390800,-18.401005,-4.615085,0.000000,-1.687570,0.000000,-20.883415,-18.401005,1.534990,3.359760,-0.429731,0.554735,0.396311,0.000000,0.509767,0.000000,0.274599,0.000000,0.000000,0.396311,0.000000,0.509767,0.000000,0.274599,0.509767,0.000000,1.084002,0.000000,0.817424,0.000000,0.000000,0.509767,0.000000,1.084002,0.000000,0.817424,0.274599,0.000000,0.817424,0.000000,0.939302,0.000000,0.000000,0.274599,0.000000,0.817424,0.000000,0.939302
151.800000,-21.583808,-18.401005,-5.250573,0.000000,-1.850854,0.000000,-21.940944,-18.401005,1.561450,3.328345,-0.351604,0.554735,0.398127,0.000000,0.502166,0.000000,0.275178,0.000000,0.000000,0.398127,0.000000,0.502166,0.000000,0.275178,0.502166,0.000000,1.030232,0.000000,0.780692,0.000000,0.000000,0.502166,0.000000,1.030232,0.000000,0.780692,0.275178,0.000000,0.780692,0.000000,0.863490,0.000000,0.000000,0.275178,0.000000,0.780692,0.000000,0.863490
